local_time,gpu_index,gpu_name,memory_used_mb,memory_total_mb,gpu_util_percent
2026/06/24 20:11:27.477,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:11:28.581,0,NVIDIA GeForce RTX 5090,5650,32607,27
2026/06/24 20:11:29.662,0,NVIDIA GeForce RTX 5090,5650,32607,38
2026/06/24 20:11:30.757,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:11:31.853,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 20:11:32.912,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 20:11:33.967,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 20:11:35.045,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:11:36.161,0,NVIDIA GeForce RTX 5090,5650,32607,29
2026/06/24 20:11:37.237,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 20:11:38.329,0,NVIDIA GeForce RTX 5090,5650,32607,39
2026/06/24 20:11:39.425,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 20:11:40.521,0,NVIDIA GeForce RTX 5090,5650,32607,27
2026/06/24 20:11:41.625,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 20:11:42.721,0,NVIDIA GeForce RTX 5090,5650,32607,26
2026/06/24 20:11:43.797,0,NVIDIA GeForce RTX 5090,5650,32607,28
2026/06/24 20:11:44.901,0,NVIDIA GeForce RTX 5090,5650,32607,39
2026/06/24 20:11:45.959,0,NVIDIA GeForce RTX 5090,5650,32607,17
2026/06/24 20:11:47.057,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:11:48.161,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:11:49.261,0,NVIDIA GeForce RTX 5090,5650,32607,28
2026/06/24 20:11:50.336,0,NVIDIA GeForce RTX 5090,5650,32607,30
2026/06/24 20:11:51.409,0,NVIDIA GeForce RTX 5090,5650,32607,38
2026/06/24 20:11:52.517,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 20:11:53.617,0,NVIDIA GeForce RTX 5090,5650,32607,41
2026/06/24 20:11:54.675,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 20:11:55.731,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 20:11:56.830,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:11:57.920,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 20:11:59.021,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 20:12:00.073,0,NVIDIA GeForce RTX 5090,5650,32607,28
2026/06/24 20:12:01.193,0,NVIDIA GeForce RTX 5090,5650,32607,38
2026/06/24 20:12:02.247,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 20:12:03.329,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 20:12:04.387,0,NVIDIA GeForce RTX 5090,5650,32607,30
2026/06/24 20:12:05.447,0,NVIDIA GeForce RTX 5090,5650,32607,38
2026/06/24 20:12:06.554,0,NVIDIA GeForce RTX 5090,5650,32607,28
2026/06/24 20:12:07.660,0,NVIDIA GeForce RTX 5090,5650,32607,23
2026/06/24 20:12:08.757,0,NVIDIA GeForce RTX 5090,5650,32607,26
2026/06/24 20:12:09.816,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 20:12:10.871,0,NVIDIA GeForce RTX 5090,5650,32607,22
2026/06/24 20:12:11.961,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:12:13.066,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 20:12:14.165,0,NVIDIA GeForce RTX 5090,5650,32607,29
2026/06/24 20:12:15.260,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:12:16.367,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:12:17.446,0,NVIDIA GeForce RTX 5090,5650,32607,25
2026/06/24 20:12:18.504,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 20:12:19.578,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:12:20.657,0,NVIDIA GeForce RTX 5090,5650,32607,25
2026/06/24 20:12:21.734,0,NVIDIA GeForce RTX 5090,5650,32607,31
2026/06/24 20:12:22.841,0,NVIDIA GeForce RTX 5090,5650,32607,28
2026/06/24 20:12:23.944,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 20:12:25.021,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 20:12:26.074,0,NVIDIA GeForce RTX 5090,5650,32607,38
2026/06/24 20:12:27.131,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 20:12:28.183,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 20:12:29.285,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:12:30.338,0,NVIDIA GeForce RTX 5090,5650,32607,30
2026/06/24 20:12:31.437,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 20:12:32.537,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:12:33.644,0,NVIDIA GeForce RTX 5090,5650,32607,39
2026/06/24 20:12:34.737,0,NVIDIA GeForce RTX 5090,5650,32607,38
2026/06/24 20:12:35.792,0,NVIDIA GeForce RTX 5090,5650,32607,30
2026/06/24 20:12:36.865,0,NVIDIA GeForce RTX 5090,5650,32607,31
